codigo_ies,fecha_inicio_periodo,fecha_fin_periodo,sexo,nivel,nombre_ies_internacional,pais_estudio,nombre_titulo,cursando
1019,2018,2018-08-17,0,4,UNIVERSIDAD POLITÃÂCNICA DE VALENCIA,ESPAÃÂA,"DOCTOR DENTRO DEL PROGRAMA DE TECNOLOGIA DE MEMBRANAS, ELECTROQUIMICA Y MEDIO AMBIENTE, SEGURIDAD NUCLEAR",0
1027,2018,2018-08-25,0,4,UNIVERSIDAD DE LA LAGUNA,ESPAÃÂA,DOCTOR EN CIENCIAS SECCION QUIMICAS,0
1034,2018,2018-08-04,0,4,UNIVERSIDAD POLITECNICA SALESIANA,ECUADOR,MAGISTER EN METODOS MATEMATICOS Y SIMULACION NUMERICA EN INGENIERIA,0
1028,2018,2018-12-31,0,4,UNIVERSIDAD DE LONDRES,REINO UNIDO (INGLATERRA),MASTER EN CIENCIAS EN MEDICINA SOCIAL,0
1033,2018,2018-08-31,0,3,UNIVERSIDAD DE CUENCA,ECUADOR,DOCTOR EN MEDICINA Y CIRUGIA,0
1022,2018,2018-12-31,0,3,PONTIFICIA UNIVERSIDAD CATOLICA DEL ECUADOR,ECUADOR,LICENCIADO EN FILOSOFIA,0
1005,2018,2018-12-31,0,3,UNIVERSIDAD DE CUENCA,ECUADOR,DOCTOR EN MEDICINA Y CIRUGIA,0
1040,2018,2018-07-31,0,4,UNIVERSITE DU QUEBEC MONTREAL,CANADA,MAITRE EN ADMINISTRATION DES AFFAIRES MBA,0
1070,2018,2018-12-31,0,4,UNIVERSITÃÂ DU QUÃÂBEC MONTRÃÂAL,CANADA,MAITRE EN ADMINISTRATION DES AFFAIRES MBA,0
1042,2018,2018-08-30,0,4,UNIVERSIDAD DE GUAYAQUIL,ECUADOR,DIPLOMADO SUPERIOR EN DERECHO CONSTITUCIONAL Y DERECHO FUNDAMENTALES,0
1041,2018,2018-08-17,0,4,UNIVERSIDAD PABLO DE OLAVIDE,ESPAÃÂA,DOCTOR DENTRO DEL PROGRAMA EN HISTORIA DE AMERICA LATINA MUNDOS INDIGENAS,0
1006,2018,2018-09-16,0,4,Universidad de La Habana,CUBA,Doctor en Ciencias Contables  Financieras y Administrativas,1
1011,2018,2018-09-30,0,3,,ECUADOR,DOCTOR EN MEDICINA Y CIRUGIA,0
1038,2018,2019-01-13,0,4,ESCUELA POLITECNICA NACIONAL,ECUADOR,MAGISTER EN INGENIERIA INDUSTRIAL MSC,0
1007,2018,2019-02-22,0,4,UNIVERSIDAD DE CUENCA,ECUADOR,DOCTOR EN JURISPRUDENCIA Y ABOGADO DE LOS TRIBUNALES DE JUSTICIA DE LA REPUBLICA,0
1029,2018,2018-08-08,0,4,UNIVERSIDAD CATOLICA DE CUENCA,ECUADOR,ESPECIALISTA EN MEDICINA INTERNA,0
1031,2018,2018-08-31,0,3,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,ECUADOR,LICENCIADO EN CIENCIAS DE LA EDUCACION MENCION FISICO MATEMATICAS,0
1016,2018,2018-09-22,1,3,UNIVERSIDAD DE AIX-MARSELLE I,FRANCIA,DIPLOME DETUDES UNIVERSITAIRES GENERALES MENTION SCIENCES HUMAINES SECTION PSYCHOLOGIE,0
1001,2018,2018-08-31,0,4,UNIVERSIDAD DE CUENCA,ECUADOR,DOCTOR EN JURISPRUDENCIA Y ABOGADO DE LOS TRIBUNALES DE JUSTICIA DE LA REPUBLICA,0
1014,2018,2018-09-30,0,4,UNIVERSIDAD TECNICA ESTATAL DE QUEVEDO,ECUADOR,MAGISTER EN GERENCIA DE PROCESOS EDUCATIVOS INNOVADORES,0
1013,2018,2018-08-31,0,4,UNIVERSIDAD AGRARIA DEL ECUADOR,ECUADOR,MASTER EN RIEGO Y DRENAJE,1
1037,2018,2018-08-18,0,4,UNIVERSIDAD DE GUAYAQUIL,ECUADOR,DIPLOMADO SUPERIOR EN DISEÃÂO CURRICULAR POR COMPETENCIAS,0
1060,2018,2019-04-30,0,4,UNIVERSIDAD MEDICA DE LA HABANA,CUBA,EXPERTO EN SEGURIDAD E HIGIENE INDUSTRIAL,0
1002,2018,2018-08-31,0,4,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,ECUADOR,MASTER EN DIRECCION DE EMPRESAS,0
1003,2018,2018-09-07,0,4,UNIVERSIDAD LAICA ELOY ALFARO DE MANABI,ECUADOR,INGENIERO AGROPECUARIO,0
1056,2018,2019-02-23,0,4,NO_APLICA,ESTADOS UNIDOS,DOCTOR OF PHILOSOPHY IN PSYCHOLOGY,0
1008,2018,2018-09-21,0,4,UNIVERSIDAD NACIONAL DE LOJA,ECUADOR,MAGISTER EN DOCENCIA UNIVERSITARIA E INVESTIGACION EDUCATIVA,0
1017,2018,2018-08-20,1,3,UNIVERSIDAD DE CUENCA,ECUADOR,SOCIOLOGA,0
1024,2018,2018-09-28,0,4,UNIVERSIDAD TECNICA DE BABAHOYO,ECUADOR,MAGISTER EN GERENCIA DE SERVICIOS DE SALUD,0
1032,2018,2018-08-19,1,4,KATHOLIEKE UNIVERSITEIT LEUVEN/ CATHOLIC UNIVERSITY OF LEUVEN (KU LEUVEN),BELGICA,DIPLOME D ETUDES APROFONDIES EN SCIENCES APPLIQUEES,0
1023,2018,2019-03-20,0,4,UNIVERSIDAD CATOLICA DE CUENCA,ECUADOR,ESPECIALISTA EN DOCENCIA UNIVERSITARIA,0
1083,2018,2019-04-14,0,4,UNIVERSIDAD AUTONOMA BENITO JUAREZ DE OAXACA,MEXICO,DOCTOR EN CIENCIAS DE LA ADMINISTRACION,0
1021,2018,2018-09-21,0,3,ESCUELA SUPERIOR POLITECNICA DEL LITORAL,ECUADOR,LICENCIADO EN ARQUEOLOGIA,0
1082,2018,2018-08-11,1,4,UNIVERSIDAD ANDINA SIMON BOLIVAR,ECUADOR,MAGISTER EN ESTUDIOS DE LA CULTURA MENCION POLITICAS CULTURALES,0
1045,2018,2019-03-31,0,4,UNIVERSIDAD TECNICA DE AMBATO,ECUADOR,MAGISTER EN ARQUITECTURA MENCION DISEÃÂO ARQUITECTONICO AVANZADO,0
1079,2018,2018-08-21,0,4,ESCUELA POLITECNICA NACIONAL,ECUADOR,"MAGISTER EN GERENCIA EMPRESARIAL, MBA.",0
1058,2018,2018-07-31,0,3,UNIVERSIDAD DEL AZUAY,ECUADOR,BIÃÂLOGO,0
1009,2018,2020-04-01,0,4,UNIVERSIDAD COMPLUTENSE DE MADRID,ESPAÃÂA,DOCTOR EN VETERINARIA,0
1057,2018,2018-12-31,1,4,UNIVERSIDAD DE CUENCA,ECUADOR,DIPLOMADO SUPERIOR EN ESTUDIOS DE LA PREVENCION DE LA CORRUPCION,0
1036,2018,2018-08-27,1,3,UNIVERSIDAD DEL AZUAY,ECUADOR,DOCTOR EN JURISPRUDENCIA Y ABOGADA DE LOS TRIBUNALES DE JUSTICIA DE LA REPUBLICA,0
1010,2018,2019-02-28,0,4,UNIVERSIDAD TECNICA PARTICULAR DE LOJA,ECUADOR,MAGISTER EN DERECHO ADMINISTRATIVO,0
1020,2018,2018-08-13,1,4,UNIVERSIDAD DEL AZUAY,ECUADOR,MAGISTER EN DISEÃÂO MULTIMEDIA,0
